address,url,description,rooms,winterized,price,original_price,surface,year,latitude,longitude,distance,duration,first_posting_date,last_posting_date
"Majaniementie 24, Nerkoo, Kihniö",https://www.etuovi.com/kohde/20036103,"Tupa + mh, tupa + sauna",2.0,NO,198000.0,198000.0,25.0,2024.0,62.135488,23.193626,282 km,3 hours 3 mins,2024-07-08,2024-07-08
"Tirvantie 161g, Kaipiainen, Kouvola",https://www.etuovi.com/kohde/21611229,tupak + 3h + pkh + s,3.0,NO,69000.0,69000.0,25.0,1962.0,60.9047148,27.1060727,157 km,1 hour 45 mins,2024-07-08,2024-07-08
"Louhikonmäentie 240, Halkosaari, Seinäjoki",https://www.etuovi.com/kohde/581143,3h + k + s + ph + parvi + lasitettu terassi,3.0,NO,129000.0,129000.0,52.0,1989.0,62.883357,22.705308,371 km,4 hours 3 mins,2024-07-08,2024-07-08
"Kiviniementie 422, Paimela, Hollola",https://www.etuovi.com/kohde/580586,"2 huonetta, kuisti",2.0,NO,99000.0,99000.0,48.0,1939.0,61.0716124,25.599004,121 km,1 hour 23 mins,2024-07-08,2024-07-08
"Puutturintie 87, Sanginkylä, Utajärvi",https://www.etuovi.com/kohde/581043,"Tupa, kamari ja sauna",1.0,NO,43000.0,43000.0,26.0,1980.0,64.8710705,26.6951736,620 km,7 hours 4 mins,2024-07-08,2024-07-08
"Haukkolahdentie 228, Hurissalo, Puumala",https://www.etuovi.com/kohde/1372641,"3h, k, kph, khh, wc",3.0,NO,295000.0,295000.0,90.7,2006.0,61.423021,27.711236,253 km,2 hours 54 mins,2024-07-08,2024-07-08
"Kemilänniementie 211 D, Kemilänniemi, Pielavesi",https://www.etuovi.com/kohde/21115885,"tupakeittiö, mh, parvi, kh, s, parveke, terassi",3.0,YES,138000.0,138000.0,92.0,1993.0,63.120885,26.628983,399 km,4 hours 36 mins,2024-07-08,2024-07-08
"Tallimäentie 234, Isojärvi, Multia",https://www.etuovi.com/kohde/20649641,"Mökki, nukkuma-aitta, sauna, puucee",,NO,55000.0,55000.0,19.0,,60.855876,26.85347,145 km,1 hour 39 mins,2024-07-08,2024-07-08
"Pirttiniementie 60f, Pirttiniemi, Kajaani",https://www.etuovi.com/kohde/20235167,"Tupa + k + 2makuusoppea + vh, rantasauna, aittavar / liiteri / puucee, var",,NO,109000.0,109000.0,55.0,1982.0,62.082336,28.937875,359 km,4 hours 2 mins,2024-07-08,2024-07-08
"Seppäläntie 5, Nurmes",https://www.etuovi.com/kohde/46868019,1h,1.0,NO,58000.0,58000.0,38.0,1976.0,63.5226377,29.0164678,510 km,5 hours 31 mins,2024-07-08,2024-07-08
"Murtojärventie, Hammaslahti, Joensuu",https://www.etuovi.com/kohde/35696185,"Huvila, Hammaslahti, Murtojärvi",3.0,YES,158000.0,158000.0,100.0,2008.0,62.43333,29.96667,433 km,4 hours 51 mins,2024-07-08,2024-07-08
"Eerikintie 1 B, Ranua",https://www.etuovi.com/kohde/580427,oh + k + pkh + s,1.0,NO,67000.0,67000.0,36.0,1971.0,66.2076831,26.8482627,803 km,9 hours 2 mins,2024-07-08,2024-07-08
"Kurkisenniementie 6 B, Hyrynsalmi, Hyrynsalmi",https://www.etuovi.com/kohde/20585326,Mökki + vierasmaja / kuivakäymälä + hirsilato,,NO,46500.0,46500.0,24.6,2018.0,64.5552159,28.6849433,626 km,7 hours 5 mins,2024-07-08,2024-07-08
"Soinintie 565 b, Iitti, Iitti",https://www.etuovi.com/kohde/20553375,"Tupakeittiö, pukuhuone, sauna ja terassi",,NO,95000.0,95000.0,33.0,1990.0,60.9736103,26.2270054,142 km,1 hour 37 mins,2024-07-08,2024-07-08
"Rauhalantie 25 B, Ämmänsaari, Suomussalmi",https://www.etuovi.com/kohde/48704110,Tupa + k + vh + katettu kuisti. Rantasauna + kesäk. + varastorak. + halkovaja + lato + ulkohuusi,1.0,NO,64000.0,64000.0,46.5,1964.0,64.871532,28.953258,656 km,7 hours 11 mins,2024-07-08,2024-07-08
"Sarviniemi 96, Sarviniemi, Luumäki",https://www.etuovi.com/kohde/21263485,Mökki + rantasauna,2.0,NO,130000.0,130000.0,50.0,1945.0,60.987573,27.822801,204 km,2 hours 19 mins,2024-07-08,2024-07-08
"Koiraniementie 50, Kangasniemi",https://www.etuovi.com/kohde/1372464,"1h, kk, parvi",1.0,NO,139000.0,139000.0,25.0,1999.0,61.8895924,26.6898061,253 km,2 hours 52 mins,2024-07-08,2024-07-08
"Linnataival 167, Raikku, Kangasala",https://www.etuovi.com/kohde/1373054,"saunatupa + parvi, aitta, huvimaja, varasto / kompostiwc",1.0,NO,129000.0,129000.0,20.0,1998.0,61.4184913,24.2697306,148 km,1 hour 41 mins,2024-07-08,2024-07-08
"Vihtavaarantie 30B, Kitee, Kitee",https://www.etuovi.com/kohde/21855073,tupakeittiö + makuuhuonee + tilava parvi,1.0,NO,179000.0,179000.0,40.0,1995.0,62.1357439,29.5733167,391 km,4 hours 23 mins,2024-07-08,2024-07-08
"Lehtisensaari , Lehtisensaari, Orivesi",https://www.etuovi.com/kohde/w39377,s + tupak,,NO,89500.0,89500.0,36.0,1985.0,61.681014,24.358524,210 km,2 hours 9 mins,2024-07-08,2024-07-08
"Jukasentie 215B, Uiminniemi, Lemi",https://www.etuovi.com/kohde/578878,"tupa, kk, alkovi",1.0,NO,129000.0,129000.0,49.0,1979.0,61.051238,27.686376,214 km,2 hours 27 mins,2024-07-08,2024-07-08
"Syväniementie 57 B, Rautalampi",https://www.etuovi.com/kohde/579185,"Tupa, rt, oh, mh, parvi, ph, sauna + rantasauna / mh + 3 mh vierastalossa",4.0,NO,297000.0,297000.0,86.0,1980.0,62.4976106,26.6354552,309 km,3 hours 31 mins,2024-07-08,2024-07-08
"Seipeläntie 39c, Puolanka",https://www.etuovi.com/kohde/57000056,"Tupakeittiö, parvi, pukuhuone ja sauna",,NO,,,30.0,,64.9136596,28.1937656,663 km,7 hours 30 mins,2024-07-08,2024-07-08
"Vääräsaari 27   , Hanhitaipale, Rautalampi",https://www.etuovi.com/kohde/w29688,2 mh + tupakeittiö,3.0,NO,210000.0,210000.0,60.0,2013.0,62.125037,28.650769,382 km,4 hours 27 mins,2024-07-08,2024-07-08
"Joonaantie 51, Nastola, Lahti",https://www.etuovi.com/kohde/80360984,"3mh, k, oh, rt, 2xwc, khh, pkh, s, kinohuone, viinikylmiö, lasit.parv., parv., ter., rantasauna, vierasmaja",5.0,NO,999000.0,999000.0,122.3,2013.0,60.963978,25.9570517,115 km,1 hour 17 mins,2024-07-08,2024-07-08
"Hämyläntie 120, Haukkamaa, Ruovesi",https://www.etuovi.com/kohde/581020,"Iso tupakeittiö, mh, pukuh, kph, s",2.0,NO,135000.0,135000.0,52.0,1997.0,62.05,23.75,271 km,3 hours 3 mins,2024-07-08,2024-07-08
"Jyrkänlahdentie 5, Harmoinen/Jokioinen, Padasjoki",https://www.etuovi.com/kohde/21154052,"Oh, k, 2mh, kph, parvi, terassi + rantasauna ja tupa",3.0,YES,398000.0,398000.0,72.0,2005.0,61.472109,25.217721,174 km,2 hours 3 mins,2024-07-08,2024-07-08
"Kirkkonen Sinisalo, Jormaskylä, Sotkamo",https://www.etuovi.com/kohde/20877741,Oleskelukammari + keititö,,NO,35000.0,35000.0,19.0,,64.135868,28.401824,589 km,6 hours 27 mins,2024-07-08,2024-07-08
"Pellikanlahdentie 10, Kynsiniemi, Pellikanlahti, Nurmes",https://www.etuovi.com/kohde/36345127,"2h, k",2.0,YES,115000.0,115000.0,60.0,1970.0,63.509893,29.125019,514 km,5 hours 37 mins,2024-07-08,2024-07-08
"Kierinniementie 41, Pohjoisjärvi, Keuruu",https://www.etuovi.com/kohde/w44943,4h + k + vh + kph + s + wc + khh + at,4.0,YES,345000.0,345000.0,125.0,2011.0,62.653183,26.662853,328 km,3 hours 48 mins,2024-07-08,2024-07-08
"Niemelän rantatie 11, Okerla, Hämeenlinna",https://www.etuovi.com/kohde/21814221,Tupa + keittotila + makuusoppi + sauna + pukuhuone,,NO,88000.0,88000.0,43.0,,61.126105,24.557924,119 km,1 hour 20 mins,2024-07-08,2024-07-08
"Veneenniementie 64, Kerimäki, Savonlinna",https://www.etuovi.com/kohde/w39927,Hotelli 96h,6.0,YES,1090000.0,1090000.0,5676.0,1990.0,61.9216521,29.3058976,351 km,3 hours 56 mins,2024-07-08,2024-07-08
"Kataaniementie 151, Kangasniemi",https://www.etuovi.com/kohde/1372933,"1h, k, parvi ja wc (pakastava). Rantasauna, kesäkeittiö, aitta, varasto",1.0,NO,130000.0,130000.0,30.0,2017.0,62.0627368,26.737176000000005,257 km,2 hours 57 mins,2024-07-08,2024-07-08
"Musapolku 121, Kuohenmaan, Kangasala",https://www.etuovi.com/kohde/20968663,1h + kk + veranta + parvi,1.0,NO,167000.0,167000.0,24.0,,61.3465617,24.0913566,152 km,1 hour 45 mins,2024-07-08,2024-07-08
"Risuniementie 31, Muurikkala, Miehikkälä",https://www.etuovi.com/kohde/577438,"tupakeittiö, makuutila, s, terassi",2.0,NO,89500.0,89500.0,27.0,1978.0,60.6870693,27.9114829,194 km,2 hours 2 mins,2024-07-08,2024-07-08
"Levänomaisentie 468, Hatsola, Juva",https://www.etuovi.com/kohde/580029,"Tupa, keittiö, makuuhuone",2.0,NO,110000.0,110000.0,50.0,1995.0,61.795091,27.884046,272 km,2 hours 56 mins,2024-07-08,2024-07-08
"Pettäisentie 491, Syvänniemi Airaksela, Kuopio",https://www.etuovi.com/kohde/20774813,2h + k,2.0,NO,120000.0,120000.0,34.0,2006.0,62.79343009999999,27.3043609,372 km,4 hours 18 mins,2024-07-08,2024-07-08
