address,url,description,rooms,winterized,price,surface,year,original_price,latitude,longitude,distance,duration,first_posting_date,last_posting_date
"Opatanmäentie 37, Virmutjoki, Ruokolahti",https://www.etuovi.com/kohde/578817,"1h, kk",1,NO,83000.0,30.0,1971,83000.0,61.4089284,28.8779195,288 km,3 hours 13 mins,2024-07-08,2024-08-05
"Kokintie 26, Sammatti, Lohja",https://www.etuovi.com/kohde/1374933,"tupakeittiö, mh, wc / kph, s, parvi",2,NO,215000.0,55.6,2011,215000.0,60.3602923,23.80708875,81.0 km,54 mins,2024-08-05,2024-08-05
"Huitukantie 238 B, Juva, Vehmaa, Juva",https://www.etuovi.com/kohde/32599794,Takkatupa ja makuuhuone ja katettu terassi,2,NO,78000.0,24.8,1975,78000.0,61.9278528,27.7370435,269 km,2 hours 45 mins,2024-08-05,2024-08-05
"Vihersalontie 501, Laitjärvi, Joutsa",https://www.etuovi.com/kohde/1374296,"Tupa, k, mh, kph, parvi, terassi, parveke",2,NO,219000.0,67.9,2022,219000.0,61.68930570000001,26.1692415,204 km,2 hours 13 mins,2024-08-05,2024-08-05
"Lehtisensaari , Lehtisensaari, Orivesi",https://www.etuovi.com/kohde/w39377,s + tupak,,NO,89500.0,36.0,1985,89500.0,61.681014,24.358524,210 km,2 hours 9 mins,2024-07-08,2024-08-05
"Sotkunlahdentie 63, Pohjoiskylä, Rantasalmi",https://www.etuovi.com/kohde/21049571,tupa + keittiö + kuisti,,YES,85000.0,59.0,1956,85000.0,62.1980003,28.0771912,313 km,3 hours 16 mins,2024-08-05,2024-08-05
"Sotkunlahdentie 61, Pohjoiskylä, Rantasalmi",https://www.etuovi.com/kohde/21533617,tupa + kk + eteinen + varasto,,YES,69000.0,25.0,1958,69000.0,62.1977898,28.0777179,313 km,3 hours 16 mins,2024-08-05,2024-08-05
"Valkjärven Rantatie 841, Pomarkku",https://www.etuovi.com/kohde/80353190,"2h, k, avoin yläkerta, pieni parveke",,NO,119000.0,36.0,1947,129000.0,61.7586589,21.9920749,284 km,3 hours 23 mins,2024-07-08,2024-08-05
"Sammallahdentie 6, Itä-Aure, Ylöjärvi",https://www.etuovi.com/kohde/80359159,"2mh, oh, k, wc, lasitettu terassi + saunamökki",3,NO,215000.0,49.5,2017,235000.0,62.05985159999999,23.3881631,259 km,2 hours 52 mins,2024-07-08,2024-08-05
"Rullintie 38B, Kontiolahti, Kontiolahti",https://www.etuovi.com/kohde/580611,"2h, tupak",2,NO,75000.0,38.0,1986,75000.0,62.9807315,29.9076614,485 km,5 hours 21 mins,2024-08-05,2024-08-05
"Honkarannantie 79, Nastola, Lahti",https://www.etuovi.com/kohde/80367512,"tupa, mh, kk, kph / wc, s, parvi, terassi, at, ak, varasto",,NO,298000.0,37.0,2007,298000.0,60.9555743,25.9551485,115 km,1 hour 14 mins,2024-08-05,2024-08-05
"Ihantolantie 228, Salo",https://www.etuovi.com/kohde/80368700,"Tupakeittiö, 3alkovi",1,NO,189000.0,50.0,1986,189000.0,60.3106334,23.6779644,98.2 km,1 hour 10 mins,2024-08-05,2024-08-05
"Haapalantie 119, Lappila, Kärkölä",https://www.etuovi.com/kohde/21217375,"2h, k, kph, s, wc, parvi",,YES,139000.0,72.0,1989,139000.0,60.8905934,25.1369868,96.8 km,1 hour 6 mins,2024-08-05,2024-08-05
"Sälinkääntie 892, Sälinkää, Mäntsälä",https://www.etuovi.com/kohde/80366430,"Vapaa-ajanrakennus 3h, keittiö, sauna, saunatupa, käyttöullakko",4,NO,88000.0,60.0,1947,88000.0,60.6907071,25.2403655,64.0 km,47 mins,2024-08-05,2024-08-05
"Hilmantie 40, Karhe, Ylöjärvi",https://www.etuovi.com/kohde/20640252,Päämökki (tupa + keittiötila) + rantasauna + aitta + talousrakennukset,,NO,115000.0,20.0,1969,115000.0,61.727831,23.4945689,210 km,2 hours 12 mins,2024-08-05,2024-08-05
"Mansgrundsstigen 9, Norrby, Kruunupyy",https://www.etuovi.com/kohde/20276574,2h + tupakeittiö + saunarakennus takkahuoneella,3,NO,119000.0,37.0,1970,119000.0,63.7279966,23.0337462,480 km,5 hours 11 mins,2024-08-05,2024-08-05
"Arimaantie 240, Pusula, Lohja",https://www.etuovi.com/kohde/579851,"25,5 ha:n maatila järven rannalla",6,NO,850000.0,300.0,1864,1100000.0,60.5521783,23.8808048,91.2 km,1 hour 12 mins,2024-07-08,2024-08-05
"Ojoistentie 92, Narva, Vesilahti",https://www.etuovi.com/kohde/20382381,tupakeittiö + parvi + kh + sauna + kellari,1,YES,149000.0,22.0,2011,149000.0,61.308763,23.50309,171 km,1 hour 47 mins,2024-08-05,2024-08-05
"Kärkijärventie 151, Niemisjärvi, Hankasalmi",https://www.etuovi.com/kohde/1374542,"2 h, kk, ph, s, ter.",2,NO,69000.0,54.0,1972,69000.0,62.2122819,26.4024633,277 km,3 hours 5 mins,2024-08-05,2024-08-05
"Ruusupolku 17, Radansuu, Iitti",https://www.etuovi.com/kohde/80367469,"Tupakeittiö, makuualkovi, kph, s, veranta, aitta, puuvaja, leikkimökki",2,NO,69000.0,35.0,2005,69000.0,60.9316076,26.3786581,141 km,1 hour 32 mins,2024-08-05,2024-08-05
"Sämpsänniementie 22, Kynsiniemi, Nurmes",https://www.etuovi.com/kohde/61496562,"2h, tupak, kph, wc",3,YES,149000.0,49.0,2015,149000.0,63.5141539,29.1337056,516 km,5 hours 31 mins,2024-08-05,2024-08-05
"Laukanlammentie 66 B, Uimaharju, Joensuu",https://www.etuovi.com/kohde/20637362,"olohuone, keittiö, makuuhuone, parvi, terassi, parveke",3,NO,89000.0,65.0,,89000.0,62.91132140000001,30.1799695,476 km,5 hours 10 mins,2024-08-05,2024-08-05
"Kaituuntie 238, Laitjärvi, Joutsa",https://www.etuovi.com/kohde/20633555,"Sali, tupa, 2mh, wc / kph, 2 kuistia ja terassi",4,YES,249000.0,77.0,,249000.0,61.6442675,26.2622455,192 km,2 hours 14 mins,2024-08-05,2024-08-05
"Untolantie 30, Viranmaa, Valkeakoski",https://www.etuovi.com/kohde/21867068,"tupakeittiö ja tupa, sauna, vierasaitta / parvi, puucee / varasto, leikkimökki",,NO,175000.0,,,175000.0,61.2610776,24.1650617,135 km,1 hour 34 mins,2024-08-05,2024-08-05
"Timisjärventie 26, Peräposio, Posio",https://www.etuovi.com/kohde/1375376,"1. krs; Pirtti, keittiö, aula, salonki, 2mh, khh / kph, s. 2. krs; Ateljee, parvi.",5,NO,1950000.0,339.0,2014,1950000.0,66.209064,27.8445177,841 km,9 hours 25 mins,2024-08-05,2024-08-05
"Sivolanniementie 300, Koutaniemi, Kajaani",https://www.etuovi.com/kohde/1374778,"3h, k",3,NO,45000.0,54.0,,45000.0,64.2831152,27.4918209,566 km,6 hours 4 mins,2024-08-05,2024-08-05
"Levälahdentie 22, Nuoramoinen, Sysmä",https://www.etuovi.com/kohde/582367,"tupa, kk, makuualkovi, kuisti, terassi",1,NO,75000.0,40.0,1983,75000.0,61.4182292,25.9712766,166 km,1 hour 47 mins,2024-08-05,2024-08-05
"Taasjärventie 142 - 14, Taasjärvi, Sipoo",https://www.etuovi.com/kohde/80364573,oh + 2 mh + k + wc + vintti,3,NO,180000.0,67.0,1948,180000.0,60.3077514,25.35243408171017,31.0 km,27 mins,2024-08-05,2024-08-05
"Tiilikkalantie 32, Vehmersalmi, Kuopio",https://www.etuovi.com/kohde/573986,"1h, k, parvi, s",1,NO,59000.0,32.0,1991,69000.0,62.6851387,28.0499195,370 km,4 hours 5 mins,2024-07-08,2024-08-05
"Raiviontie 228, Jämsänkoski Paljakka, Jämsä",https://www.etuovi.com/kohde/582387,"tupa, sauna, pukuhuone",1,NO,58000.0,33.0,1982,58000.0,61.919012,25.1695223,226 km,2 hours 36 mins,2024-08-05,2024-08-05
"Koppelimäentie 93, Tuulos, Hämeenlinna",https://www.etuovi.com/kohde/1374710,"Tupa, varasto, avokuisti",1,NO,49500.0,19.0,,49500.0,61.071763,24.8416057,119 km,1 hour 21 mins,2024-08-05,2024-08-05
"Susikämpäntie 203, Pihlajanlahti, Savonlinna",https://www.etuovi.com/kohde/1375292,"3h, k, khh, kph, s",3,NO,320000.0,93.5,1999,320000.0,61.8447664,28.6017801,322 km,3 hours 31 mins,2024-08-05,2024-08-05
"Kyyrönsaari 7, Savonlinna, Savonlinna",https://www.etuovi.com/kohde/1371614,"1h, s",1,NO,49000.0,26.0,1985,65000.0,61.976354,28.6740265,314 km,3 hours 28 mins,2024-07-08,2024-08-05
"Pakarhiekantie 137, Pellossalo, Savonlinna",https://www.etuovi.com/kohde/1367058,"2h, tupak, kph / s, parvi",2,NO,179000.0,79.0,2014,189000.0,61.6977828,29.0112655,372 km,4 hours 44 mins,2024-07-08,2024-08-05
"Tervakorventie 115 A, Kutemajärvi, Kangasniemi",https://www.etuovi.com/kohde/21917587,"tupakeittiö, 2 mh, pk, s",,NO,75000.0,57.0,1992,75000.0,62.1748859,26.7653462,266 km,2 hours 58 mins,2024-08-05,2024-08-05
"Hirsitie 222, Suodenniemi, Sastamala",https://www.etuovi.com/kohde/582050,1h + pukuh + s,1,NO,99000.0,20.0,,99000.0,61.5431456,22.7248549,231 km,2 hours 29 mins,2024-08-05,2024-08-05
"Anttolantie 2816, Anttola, Mikkeli",https://www.etuovi.com/kohde/21369652,"4h, k, khh, kph, s",4,YES,495000.0,260.0,1991,495000.0,61.588345,27.6219126,248 km,2 hours 35 mins,2024-08-05,2024-08-05
"Ylävuolunkuja 198 D, Vihanti, Raahe",https://www.etuovi.com/kohde/80363213,"Tupak, alkovi, pukuh, s, terassi",1,NO,55000.0,36.5,1983,55000.0,64.5433031,24.9193118,571 km,6 hours 16 mins,2024-08-05,2024-08-05
"Ylävuolunkuja 198 E, Vihanti, Raahe",https://www.etuovi.com/kohde/80364819,"Tupak, 2 alkovia, terassi",1,NO,55000.0,22.5,1985,55000.0,64.5433031,24.9193118,571 km,6 hours 16 mins,2024-08-05,2024-08-05
"Vesilahdentie 290, Tottijärvi, Nokia",https://www.etuovi.com/kohde/21245872,2h + kk + s,2,YES,200000.0,46.0,1991,200000.0,61.3989454,23.3424953,185 km,2 hours 1 min,2024-07-08,2024-08-05
"Kuikanniementie 14, Kurkijärvi, Kuusamo",https://www.etuovi.com/kohde/582391,"2 mh, oh, k, eteinen",3,NO,59000.0,74.0,1953,59000.0,65.95952799999999,28.662244,822 km,8 hours 53 mins,2024-08-05,2024-08-05
"Vähä-Työläjärventie 86, Hämeenkyrö (Ylöjärvi Metsäkylä), Hämeenkyrö",https://www.etuovi.com/kohde/21497450,1h,,NO,35000.0,12.0,,35000.0,61.58285610000001,23.4867363,195 km,1 hour 58 mins,2024-08-05,2024-08-05
"Vallolamminraitti 370, Pahojoki, Laitila",https://www.etuovi.com/kohde/80368354,1h + kk + pkh + s + terassi,1,NO,85000.0,30.0,1976,85000.0,60.89741405,22.0063826,228 km,2 hours 33 mins,2024-08-05,2024-08-05
"Rantatie 3, Anttola, Mikkeli",https://www.etuovi.com/kohde/582441,"3h, k, s",3,NO,399000.0,107.0,1955,399000.0,61.5937338,27.6348629,249 km,2 hours 37 mins,2024-08-05,2024-08-05
"Myssylänlahdentie 46 A, Sinervämäki, Multia",https://www.etuovi.com/kohde/20919512,"Tupa, keittokomero, alkovi",2,NO,75000.0,37.0,1970,75000.0,62.3635124,24.8759472,302 km,3 hours 19 mins,2024-08-05,2024-08-05
"Miestamontie 46, Rajalahti, Ruovesi",https://www.etuovi.com/kohde/21232885,"Tupakeittiö, huone",,NO,108000.0,55.0,1902,120000.0,61.95259799999999,24.0233082,246 km,2 hours 43 mins,2024-07-08,2024-08-05
"Ahmapolku, Raanujärvi, Ylitornio",https://www.etuovi.com/kohde/w49297,2h + tupak + ma + kph + s + wc + p + var,2,NO,199000.0,83.0,2014,199000.0,66.64617009999999,24.7283106,836 km,9 hours 18 mins,2024-08-05,2024-08-05
"Ala-Kärpäntie 64, Anttula, Kuhmoinen",https://www.etuovi.com/kohde/582359,"2h, k, makuualkova, kuisti, var",2,NO,94000.0,56.0,1970,94000.0,61.65000999999999,25.360188,201 km,2 hours 22 mins,2024-08-05,2024-08-05
"Kannaksenpolku 37, Karjalohja, Lohja",https://www.etuovi.com/kohde/1372980,"3h, k, s, wc",3,NO,259000.0,65.5,,259000.0,60.2437805,23.6640653,94.1 km,1 hour 13 mins,2024-08-05,2024-08-05
"Laukkulammentie, Sääksjärvi, Vimpeli",https://www.etuovi.com/kohde/80368185,2h + tk + parvi + parv + ter. + rantasauna + ulkowc + puuvaja,2,NO,69000.0,60.0,2007,69000.0,63.220856,23.971267,399 km,4 hours 28 mins,2024-08-05,2024-08-05
"Ranta-ahontie 11, Mutoudenniemi, Paltamo",https://www.etuovi.com/kohde/57492434,Mökki tai huvila,,NO,110000.0,,,110000.0,64.3307997,27.528678,620 km,6 hours 48 mins,2024-08-05,2024-08-05
"Rehtsuontie 171, Kalkkinen, Asikkala",https://www.etuovi.com/kohde/581971,"2h, k, terassi",2,NO,120000.0,59.0,2004,120000.0,61.3062688,25.7126627,148 km,1 hour 45 mins,2024-08-05,2024-08-05
"Kiminginjärventie 85A, Kukko, Saarijärvi",https://www.etuovi.com/kohde/80359691,OH + K + RT + PARV,,NO,73900.0,40.0,1983,78900.0,62.617931,24.754742,336 km,3 hours 44 mins,2024-07-08,2024-08-05
