name,location,network,type,address,website,latitude,longitude
Helsingin seudun yliopistollinen keskussairaala,Helsinki,,Hospital,"Tenholantie 10, 00280 Helsinki, Finland",,60.202336,24.90741
Turun yliopistollinen keskussairaala,Turku,,Hospital,"Kiinamyllynkatu 4-8, 20520 Turku, Finland",,60.453194,22.293611
Oulun yliopistollinen sairaala,Oulu,,Hospital,"Kajaanintie 50, 90220 Oulu, Finland",,65.009116,25.520813
Tampereen yliopistollinen sairaala,Tampere,,Hospital,"Elämänaukio 2, 33520 Tampere, Finland",,61.504912,23.813576
Kuopion yliopistollinen sairaala,Kuopio,,Hospital,"Puijonlaaksontie 2, 70200 Kuopio, Finland",,62.897733,27.647406
Kymenlaakson keskussairaala,Kotka,,Hospital,"Kotkantie 41, 48210 Kotka, Finland",,60.477435,26.912839
Etelä-Karjalan keskussairaala,Lappeenranta,,Hospital,"Valto Käkelän katu 1, 53130 Lappeenranta, Finland",,61.065157,28.210571
Päijät-Hämeen keskussairaala,Lahti,,Hospital,"Keskussairaalankatu 7, 15850 Lahti, Finland",,60.994263,25.571293
Kanta-Hämeen keskussairaala,Hämeenlinna,,Hospital,"Parantolankatu 6, 13530 Hämeenlinna, Finland",,60.996779,24.446749
Satasairaala,Pori,,Hospital,"Sairaalantie 3, 28500 Pori, Finland",,61.473804,21.779165
Lapin keskussairaala,Rovaniemi,,Hospital,"Ounasrinteentie 22, 96400 Rovaniemi, Finland",,66.492425,25.774144
Vaasan keskussairaala,Vaasa,,Hospital,"Hietalahdenkatu 2 4, 65130 Vaasa, Finland",,63.084911,21.615995
Seinäjoen keskussairaala,Seinäjoki,,Hospital,"Hanneksenrinne 7, 60220 Seinäjoki, Finland",,62.773233,22.828416
Keski-Pohjanmaan keskussairaala,Kokkola,,Hospital,"Mariankatu, 67200 Kokkola, Finland",,63.844387,23.109765
Keski-Suomen Sairaala Nova,Jyväskylä,,Hospital,"Hoitajantie 3, 40620 Jyväskylä, Finland",,62.229918,25.70483
Mikkelin keskussairaala,Mikkeli,,Hospital,"Porrassalmenkatu 35 37, 50100 Mikkeli, Finland",,61.691952,27.278264
Savonlinnan keskussairaala,Savonlinna,,Hospital,"Keskussairaalantie 6, 57120 Savonlinna, Finland",,61.870649,28.85342
Pohjois-Karjalan keskussairaala,Joensuu,,Hospital,"Tikkamäentie 16, 80210 Joensuu, Finland",,62.592482,29.779628
Kainuun keskussairaala,Kajaani,,Hospital,"Sotkamontie 13, 87300 Kajaani, Finland",,64.214362,27.728134
Ahvenanmaan keskussairaala,Maarianhamina,,Hospital,"1 Doktorsvägen, Mariehamn 22100, Åland Islands",,60.114413,19.936268
Länsi-Pohjan keskussairaala,Kemi,,Hospital,"Kauppakatu 25, 94100 Kemi, Finland",,65.733969,24.555466
Grelsby sjukhus,Finström,,Hospital,"Stornäsvägen 40, 22410 Godby, Finland",,60.050453,23.067106
Seinäjoen kaupunginsairaala,Seinäjoki,,Hospital,"Hanneksenrinne 7, 60220 Seinäjoki, Finland",,62.773233,22.828416
Pieksämäen aluesairaala,Pieksämäki,,Hospital,"Sairaalantie 14, 76100 Pieksämäki, Finland",,62.302574,27.150259
Auroran sairaala,Helsinki,,Hospital,"Nordenskiöldinkatu 20, 00250 Helsinki, Finland",,60.195076,24.926904
Haartmanin sairaala,Helsinki,,Hospital,"Haartmaninkatu 4 Rakennus 12, 00290 Helsinki, Finland",,60.190487,24.90727
HYKS Psykiatriakeskus,Helsinki,Helsingin seudun yliopistollinen keskussairaala,Hospital,"Välskärinkatu 12, 00260 Helsinki, Finland",,60.180016,24.919526
Iho- ja allergiasairaala,Helsinki,Helsingin seudun yliopistollinen keskussairaala,Hospital,"Meilahdentie 2, 00250 Helsinki, Finland",,60.191752,24.895094
Kirurginen sairaala,Helsinki,Helsingin seudun yliopistollinen keskussairaala,Hospital,"Kasarmikatu 11-13, 00130 Helsinki, Finland",,60.162244,24.948631
Malmin sairaala,Helsinki,,Hospital,"Talvelantie 6, 00700 Helsinki, Finland",,60.253565,24.999478
Naistenklinikka,Helsinki,Helsingin seudun yliopistollinen keskussairaala,Hospital,"Haartmaninkatu 2, 00290 Helsinki, Finland",,60.188652,24.910601
